Licensee Name,License Number,Licence Status,Email,Phone,WhatsApp,Skype ID,Domain Names,Full Address,Game Types
Crown Dfs Malta Limited,MGA/B2C/369/2017,Surrendered,support@draftkings.com,,,,"Http://At.Draftkings.Com, Http://Draftkings.Com.Mt","Level G, Office 1/1518, Quantum House 75, Abate Rigord Street, Ta' Xbiex, Xbx 1120, Malta",Type 4 Gaming Service
Cubeia Sweden Ab,MGA/B2B/692/2019,Surrendered,Invalid Email,,,,,"Cubeia Box 12077, Stockholm, 10312, Sweden","Type 1 Gaming Service, Type 3 Gaming Service"
Cyan Blue International Limited,MGA/B2C/390/2017,Surrendered,Invalid Email,22605149,22605149,,,"The Flutter Group Spinola Park, Level 2, Triq Mikiel Ang Borg, St Julians, Spk 1000, Malta",Type 2 Gaming Service
Cyan Blue International Limited,MGA/B2C/722/2019,Surrendered,Invalid Email,,,,Http://Www.Pokerstarssports.De/,", , ,",Type 2 Gaming Service
Cyberplay Management Limited,MGA/B2C/353/2016,Surrendered,Invalid Email,,,,,"Level 1, Britannia House 9, Old Bakery Street, Valletta, Vlt1450, Malta",Type 1 Gaming Service
Cyberslotz Services Malta Limited,MGA/B2B/144/2007,Cancelled,pierre@drvservices.com,,,,,"35 Mannarinu Road, Birkirkara, Bkr 9080, Malta",Type 1 Gaming Service
Cz Trading Limited,MGA/B2C/209/2007,Cancelled,pierre@drvservices.com,,,,,"35 Mannarino Road, Birkirkara, Bkr 9080, Malta",Type 1 Gaming Service
Dailychampion Limited,MGA/B2C/411/2017,Surrendered,Invalid Email,,,,,"4, V. Dimech Street , Floriana, Frn 1504, Malta",Type 4 Gaming Service
Darwin Gaming Limited,MGA/B2B/821/2020,Licensed,mail@darwingaming.com,,,,,"Level 3 (Suite 2579) Tower Business Centre, Tower Street, Swatar, Bkr4013, Malta",Type 1 Gaming Service
Dazzletag Entertainment Limited,MGA/B2C/193/2010,Licensed,Invalid Email,,,,Http://Www.Fruitkings.Com,"122 Andrea Debono Street, Naxxar, Nxr 4030, Malta",Type 1 Gaming Service
Delasport Limited,MGA/B2B/875/2021,Licensed,office@delasport.com,,,,,"Vaults 14, Level 2, Valletta Waterfront, Floriana, Frn 1914, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Delta Gaming Limited,MGA/B2B/423/2017,Surrendered,Invalid Email,,,,,"Suite 3, Tower Business Centre Tower Street, Swatar - Birkirkara, Bkr 4013, Malta",Type 3 Gaming Service
Deriv (Europe) Limited,MGA/B2C/102/2000,Surrendered,teriza@deriv.com,21316105,21316105,,Http://Www.Deriv.Com,"W Business Centre Level 3 Triq Dun Karm, Birkirkara, Bkr 9033, Malta",Type 1 Gaming Service
Development Mt Limited,MGA/CRP/397/2017,Licensed,nick@ngigamingconsultancy.com,,,,,"Soho St. Julian'S, Office 2A, Punchbowl Centre, Elia Zammit Street, St. Julians, Stj3154, Malta",Type 1 Gaming Service
Dgv Entertainment Group Limited,MGA/B2C/723/2019,Cancelled,Invalid Email,,,,"Http://Www.Aurumpalace.Com, Http://Flipperflip.Com","170, Pater House, Level 1 (Suite A251) Psaila Street, Birkirkara, Bkr 9077, Malta",Type 1 Gaming Service
Dialmedia Limited,MGA/B2C/542/2018,Licensed,compliance@fullforce.com,+35724003540,+35724003540,,"Http://Www.Fruits4Real.Com, Http://Www.Omnislots.Com, Http://Www.Whamoo.Com, Http://Www.Spinnalot.Com","64, Excalibur Triq B. Bontadini, Birkirkara, Bkr1737, Malta",Type 1 Gaming Service
Diamond Link Limited,MGA/B2C/360/2016,Surrendered,MaltaCompliance@flutterint.com,22775000,22775000,,"Http://Www.Pokerstars.Gr, Http://Www.Betstars.Gr, Http://Www.Fulltilt.Gr, Http://Www.Pokerstarscasino.Gr, Http://Www.Pokerstarssports.Gr","Spinola Park - Level 2 Triq Mikiel Ang Borg, St Julians, Spk 1000, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Digibet Limited,MGA/B2C/263/2014,Expired,info@unitedgametech.com,+35627631370,+35627631370,,,"154, The Strand, Level 1 Triq Ix-Xatt, Gzira, Gzr 1025, Malta",Type 2 Gaming Service
Digimedia Limited,MGA/B2C/167/2008,Licensed,info@cybergamingconsultants.com,21319493,21319493,,Http://Www.Jackpotsinaflash.Com,"9 Empire Stadium Street, Gzira, Gzr 1300, Malta",Type 1 Gaming Service
Digitain (Mt) Limited,MGA/B2B/592/2018,Licensed,info@digitain.com,60700400,60700400,,,"Dragonara Business Centre, 5Th Floor, Dragonara Road, Saint Julians, Stj3141, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Digital Software Limited,MGA/B2B/204/2011,Licensed,info@dslmalta.com,,,,,"Valletta Buildings, 1St Floor, Suite 3 South Street, Valletta, , Malta",Type 1 Gaming Service
Dinotech Limited,MGA/B2B/909/2021,Licensed,info@dinotech.com,00356 21383931,00356 21383931,,,"The Bastions, Office No. 2 Emvin Cremona Street,, Floriana, Frn 1281, Malta",
Dorobet Limited,MGA/B2C/116/2005,Cancelled,office@dorobet.com,,,,,"Atrium Paxton Court Mensija Road, St Julians, Stj1965, Malta",Type 2 Gaming Service
Dragonara Gaming Limited,MGA/B2C/181/2010,Licensed,contactus@dragonaracasino.com,20921000,20921000,,Http://Www.Dragonaracasino.Com/,"Dragonara Complex Dragonara Road, St Julians, Stj3143, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Ds Virtual Gaming Limited,MGA/B2B/310/2015,Licensed,info@virtualgaming.com,+43722988016,+43722988016,,,"Abacus Business Centre, Level 1, B'Kara Bypass, Dun Karm Street,, Birkirkara, Bkr 9037, Malta",Type 1 Gaming Service
Dumarca Gaming Limited,MGA/CRP/169/2009,Licensed,compliance@gamesysgroup.com,+356 27781498,+356 27781498,,"Https://Verajohncasino.Com, Https://Verajohn.Co, Https://Casino.Intercasino.Com, Https://Casino.Verajohn.Com","The Emporium, Level 4 St Louis Street, Msida, Msd 1421, Malta",Type 1 Gaming Service
Dzbt Limited,MGA/B2C/410/2017,Licensed,Invalid Email,,,,,"Nouv Mro Frank Galea Street, Zebbug, Zbg9019, Malta",Type 1 Gaming Service
E.G.G. Limited,MGA/B2C/744/2019,Cancelled,Invalid Email,,,,,"97 Windsor Street, Sliema, Slm 1853, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 4 Gaming Service"
Eagle Rock Limited,MGA/B2C/358/2016,Surrendered,Invalid Email,,,,,"Vincenti Buildings, 28/19 (Suite No. 1833) Strait Street, Valletta, Vlt 1432, Malta",Type 1 Gaming Service
Earlybird Limited,MGA/B2B/780/2020,Licensed,Invalid Email,99441881,99441881,,,"64, ""Excalibur"" Triq B.Bontadini, Birkirkara, Bkr1737, Malta",Type 2 Gaming Service
Eastrock Valley Solutions Limited,MGA/B2B/740/2019,Licensed,legal@eastrockvalley.com,,,,,"Level 2, 14 East Triq Ir-Rebha, Gzira, Gzr 1327, Malta",Type 1 Gaming Service
Ebet Europe Limited,MGA/B2C/379/2017,Surrendered,Invalid Email,,,,,"Ewropa Business Centre, Level 3 - 701,, Dun Karm Street,, Birkirkara Bkr 9034, Malta",Type 2 Gaming Service
Edict Egaming Gmbh,MGA/B2B/928/2021,Licensed,info@edict.de,04080803390,04080803390,,,"44 Schillerstrasse, Hamburg, 22767, Germany",Type 1 Gaming Service
Edict Malta Limited,MGA/B2B/336/2016,Licensed,nikitacuschieri@gmail.com,22787000,22787000,,,"No.2, Geraldu Farrugia Street , Zebbug, Zbg 4351, Malta",Type 1 Gaming Service
Egaminglab Limited,MGA/B2C/221/2012,Cancelled,support@egaminglab.com,0035625466683,0035625466683,,,"Dragonara Business Centre, 5Th Floor, Dragonara Road,, St Julians, Stj 3141, Malta",Type 2 Gaming Service
Egc Services Limited,MGA/B2B/650/2018,Licensed,contact@esagaming.com,,,,,"Soho St Julians, Punchbowl Centre, Elia Zammit Street, St. Julians, Stj3154, Malta",Type 1 Gaming Service
Egmit Elite Limited,MGA/B2C/839/2020,Cancelled,contact@egmitelite.com,,,,Http://Www.Elite24Bet.Com,"Level 3 (Suite No. 2623), Tower Business Centre, Tower Street,, Swatar, Bkr4013, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Egs International Limited,MGA/B2B/797/2020,Licensed,Invalid Email,20925100,20925100,,,"(Office 1/1859), Level G, Quantum House, 75 Abate Rigord Street, Ta' Xbiex, Xbx 1120, Malta","Type 2 Gaming Service, Type 1 Gaming Service"
Elbet Limited,MGA/B2B/997/2023,Licensed,elbetmalta@elbet.com,21345009,21345009,,Https://Www.Elbet.Com,"Elbet Limited C/O Nouv Holding Ltd. Mro Frank Galea Street, Zebbug, Zbg 9019, Malta",Type 1 Gaming Service
Elk Studios Malta Limited,MGA/B2B/605/2018,Licensed,compliance@elk-studios.com,,,,,"Level G, (Office 1/4662), Quantum House 75 Abate Rigord Street, Ta' Xbiex, Xbx 1120, Malta",Type 1 Gaming Service
Ellmount Entertainment Ltd,MGA/B2C/202/2011,Licensed,invoices@ellmountentertainment.com,,,,,"Ewropa Business Centre, Level 3 - 701, Dun Karm Street,, Birkirkara, Bkr 9034, Malta",Type 1 Gaming Service
Endorphina Limited,MGA/B2B/404/2017,Licensed,angelique@camilmac.com,21333653,21333653,,,"Advance House No. 4, 4Th Floor, 375 Manwel Dimech Street, Sliema, Slm 1058, Malta",Type 1 Gaming Service
Entertaining Play Limited,MGA/B2C/138/2007,Surrendered,info@entertainingplaymalta.com,+356 22484132,+356 22484132,,,"Capital Business Centre, Ent A, Lvl 1, Taz-Zwejt Street, San Gwann, Sgn3000, Malta",
Esports Entertainment (Malta) Limited,MGA/B2C/522/2018,Licensed,INFO@EEG.BET,27131276,27131276,,"Https://Freshspins.Com, Http://Www.Casinojefe.Com, Http://Www.Luckydino.Com, Http://Www.Olaspill.Com, Https://Www.Vie.Bet, Https://Www.Justwow.Com, Https://Www.Hipspin.Com","170, Pater House, Level 1 (Suite A308), Psaila Street Triq Salvu Psaila, Birkirkara, Bkr 9077, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Esports Media Limited,MGA/B2C/239/2013,Surrendered,owenmuscat81@gmail.com,27028086,27028086,,,"Suite A, Triq Mater Boni Consigli,, Paola, Pla 1905, Malta",
Eto Limited,MGA/B2C/190/2010,Temporary Non Operative,office@multiwincasino.com,21333653,21333653,,,"Building Scm01, Level 2, Unit 203 Smartcity Malta, Ricasoli, Kalkara, Scm 1001, Malta",Type 1 Gaming Service
Eurofootball Limited,MGA/B2C/311/2006,Surrendered,support@efbet.com,+3562137033,+3562137033,,,"Villa Ichang, No.16, Triq Mons. Alfredo Mifsud,, Ta' Xbiex, Xbx 1063, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Europe Entertainment Limited,MGA/B2C/146/2007,Surrendered,Invalid Email,+35627790600,+35627790600,,,"Vincenti Buildings,Suite 509, 28/19 Strait Street, Valletta, Vlt 1432, Malta",Type 1 Gaming Service
European Fantasy League Limited,MGA/B2C/429/2017,Cancelled,Invalid Email,,,,,"Level 1, Casal Naxaro, Labour Avenue, Naxxar, Nxr9021, Malta",Type 4 Gaming Service
European Lotto And Betting Limited,MGA/B2C/609/2018,Licensed,legal@lottoland.com,+44 (0)203 770 4290,+44 (0)203 770 4290,,"Https://Www.Lottoland.Org, Https://Www.Lottoland.Net, Https://Www.Lottoland.Info, Http://Www.Lottoland.Com, Http://Www.Lottoland.Mt, Http://Lottohelden.De, Https://Www.Lottoland.At/, Https://Www.Lottoland.Com/Mt, Https://Www.Lottohelden.Com/, Https://Www.Lottoland.Eu/, Https://Www.Dein-Lottoclub.Com/","Level 5, St. Julian'S Business Centre. Elia Zammit Street, St. Julian'S, Stj 3153, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
European Lotto And Betting Limited,MGA/B2B/475/2018,Temporary Non Operative,legal@lottoland.com,+44 (0)203 770 4290,+44 (0)203 770 4290,,"Https://Www.Lottoland.Org, Https://Www.Lottoland.Net, Https://Www.Lottoland.Info, Http://Www.Lottoland.Com, Http://Www.Lottoland.Mt, Http://Lottohelden.De, Https://Www.Lottoland.At/, Https://Www.Lottoland.Com/Mt, Https://Www.Lottohelden.Com/, Https://Www.Lottoland.Eu/, Https://Www.Dein-Lottoclub.Com/","Level 5, St. Julian'S Business Centre. Elia Zammit Street, St. Julian'S, Stj 3153, Malta",Type 1 Gaming Service
Evenbet Gaming Ltd,MGA/B2B/769/2019,Licensed,mario@iga.mt,+356 99441881,+356 99441881,,,"Dar Il-Hena, Triq Il-Kbira,, Mosta, Mst 1019, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Everum Limited,MGA/B2C/414/2017,Temporary Non Operative,Invalid Email,99441881,99441881,,Http://Magicdice.Net,"Depiro Point, Block A2 Triq Mons. G. Depiro, Sliema, Slm 2033, Malta",Type 1 Gaming Service
Everymatrix Software Limited,MGA/B2B/201/2011,Licensed,Invalid Email,,,,,"Piazzetta Business Plaza, Office 12, Level 10 Triq Għar Il-Lembi, Sliema, Slm 1605, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Evobet Limited,MGA/B2C/268/2012,Cancelled,Invalid Email,,,,,"9, Level 2, Brittania Hse Old Bakery Street, Valletta, , Malta",Type 2 Gaming Service
Evolution Gaming Malta Limited,MGA/CRP/187/2010,Licensed,compliance@evolution.com,00000000,00000000,,,"Level 1, Spinola Park, Mikiel Ang. Borg Street,, St Julians, Spk 1000, Malta",Type 1 Gaming Service
Evolution Netent Malta Limited,MGA/CRP/109/2004,Cancelled,compliance@netent.com,79772125,79772125,,,"Level One, Spinola Park Mikiel Ang. Borg Street, St. Julians, Spk1000, Malta",Type 1 Gaming Service
Evolution Red Tiger Malta Limited,MGA/CRP/480/2018,Cancelled,enquiries@redtigergaming.com,0035699767774,0035699767774,,,"Level 1, Spinola Park Mikiel Ang. Borg Street, St. Julians, Spk 1000, Malta",Type 1 Gaming Service
Eyas Gaming Limited,MGA/B2C/882/2021,Surrendered,Invalid Email,,,,Https://Merkurslots.Com,"No.2 Geraldu Farrugia Street, Zebbug, Zbg4351, Malta",Type 1 Gaming Service
Fair Play Bets Limited,MGA/B2C/205/2011,Surrendered,info@fpbets.com,+35621440323,+35621440323,,,"Dragonara Business Centre, Office Number 602 Dragonara Road, St Julians, Stj 3141, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Fairbet Limited,MGA/B2C/195/2011,Licensed,antoineslot@yahoo.com,79692126,79692126,,,"Fairbet House Triq Il-Kurunell Mass, Tarxien, , Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Fairload Limited,MGA/B2C/282/2015,Licensed,support@lvbet.com,+35677555033,+35677555033,,,"115B, Suite 3 Old Mint Street, Valletta, Vlt 1515, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Fanleague Limited,MGA/B2C/377/2017,Surrendered,Invalid Email,,,,,"'Crossbow House' 78 Cospicua Road, Paola, Pla1902, Malta",Type 3 Gaming Service
Fantasy Sport Limited,MGA/B2B/388/2017,Surrendered,Invalid Email,,,,,"Vincenti Buildings, 28/19 Suite No.1902 Strait Street, Valletta, Vlt1432, Malta",Type 4 Gaming Service
Fantasy Sport Limited,MGA/B2C/389/2017,Surrendered,Invalid Email,,,,,"Vincenti Buildings, 28/19 Suite No.1902 Strait Street, Valletta, Vlt1432, Malta",Type 4 Gaming Service
Fantasy Sports Interactive Limited,MGA/B2B/424/2017,Cancelled,info@fantasysportsinteractive.co.uk,+442088010858,+442088010858,,,"393 Lordship Lane, London, N17 6Ae, United Kingdom",Type 4 Gaming Service
Favbet Limited,MGA/B2C/473/2018,Licensed,Invalid Email,,,,Http://Www.Favbet.Eu,"Level 3 (Suite No. 2096), Tower Business Centre, Tower Street, Swatar, Birkirkara, Bkr 4013, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Fbm Digital Systems Limited,MGA/B2B/772/2019,Licensed,fbmds@fbmds.com,2226 8602,2226 8602,,,"Central Business Centre, No. 2, Level 5 Pjazza Qalb Ta’ Gesu’, St. Julians, Stj 3093, Malta",Type 1 Gaming Service
Field Of Fortune Limited,MGA/B2C/767/2019,Cancelled,Invalid Email,,,,,"Vincenti Buildings. 28/19, Suite No 1638 Strait Street, Valletta, Vlt 1432, Malta",Type 1 Gaming Service
Fpo Gambling Limited,MGA/B2C/339/2016,Surrendered,info@fairplaycasino.com,+35621233776,+35621233776,,,"84A, Milton Flats, High Street,, Sliema, Slm 1540, Malta",Type 1 Gaming Service
Fremont Tech Limited,MGA/B2C/348/2016,Surrendered,Invalid Email,,,,,"The Dolphins Sir Ugo Mifsud Street, Ta' Xbiex, Xbx 1437, Malta",Type 1 Gaming Service
Fs Software Ltd,MGA/B2B/798/2020,Licensed,info@efesclub.com,99821268,99821268,,,"Valletta Buildings Second Floor Suite 7 South Street, Valletta, ., Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Fugaso Limited,MGA/B2B/834/2020,Licensed,info@fugaso.com,99821268,99821268,,,"'Oyia' Building, Floor 2, Cross Road, Marsa, Mrs 1574, Malta",Type 1 Gaming Service
Game Tower Entertainment Limited,MGA/B2C/419/2017,Licensed,Invalid Email,00000000,00000000,,,"206 Old Bakery Street Wisely House, Valletta, Vlt 1451, Malta",Type 1 Gaming Service
Gameart Limited,MGA/B2B/966/2022,Licensed,Invalid Email,59035801,59035801,,Https://Gameart.Net,"4Th Floor, Kingsway Palace Republic Street, Valletta, Vlt1115, Malta",Type 1 Gaming Service
Gameshop Limited,MGA/B2B/981/2022,Surrendered,legal@octoplay.com,99232636,99232636,,Https://Www.Octoplay.Com,"Level 5, Octoplay Cf Business Centre, Triq Gort, St Julian'S, Stj9023, Malta",
Gameshop Limited,MGA/CRP/981/2022,Licensed,legal@octoplay.com,99232636,99232636,,Https://Www.Octoplay.Com,"Level 5, Octoplay Cf Business Centre, Triq Gort, St Julian'S, Stj9023, Malta",Type 1 Gaming Service
Gamesoft Ltd,MGA/B2B/848/2020,Licensed,Invalid Email,,,,,"Majestic Court 5 St Mary Street, Mellieha, Mlh1337, Malta",Type 1 Gaming Service
Gameworx Limited,MGA/B2B/452/2017,Surrendered,Invalid Email,,,,,", , ,",Type 1 Gaming Service
Gaming Corps Malta Ltd,MGA/B2B/755/2019,Licensed,alexandra.dimech@radixmalta.com,21332100,21332100,,,"Scm01, Unit 507 Smart City Malta , Ricasoli, Kalkara, Scm1001, Malta",Type 1 Gaming Service
Gaming Operations Limited,MGA/B2C/223/2011,Licensed,Invalid Email,,,,,"Portomaso Business Tower, Level 11 Portomaso, St Julians, , Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Gaming Trading Limited,MGA/B2C/262/2014,Surrendered,hello@safergambling.com,+35621341219,+35621341219,,,"Office 21, Regent House, Bisazza Street,, Sliema, Slm 1640, Malta",Type 1 Gaming Service
Gammix Limited,MGA/B2C/295/2015,Licensed,Invalid Email,,,,"Http://Www.Woopwin.Com, Http://Www.Vegadream.Com, Http://Www.Nordslot.Com, Https://Www.Goslot.Com, Https://Www.Zinkra.Com, Http://Www.Rigged.Com, Http://Www.Sugarcasino.Com, Http://Www.Cashimashi.Com, Https://Www.Scatters.Com, Https://Www.Crazeplay.Com, Http://Www.Rantcasino.Com, Http://Www.Bluvegas.Com, Http://Www.Locowin.Com, Https://Www.Touchcasino.Com, Https://Www.Flamingcasino.Com, Https://Www.Wunderwins.Com, Https://Betoriginal.Com, Https://Www.Dbosses.Com, Http://Www.Stake7.Com, Https://Www.Simsino.Com, Http://Casinonight.Com/","Cf Business Centre, Level 4, Triq Gort,, St. Julians, Stj9023, Malta",Type 1 Gaming Service
Ganapati (Malta) Limited,MGA/B2B/365/2016,Surrendered,Invalid Email,,,,,"Q2, Ground Floor, Unit A, Tigne Point,, Sliema, Sliema Tp01, Malta",Type 1 Gaming Service
Genesis Global Limited,MGA/CRP/314/2015,Cancelled,Invalid Email,,,,"Http://Casinomasters.Com, Http://Www.Casinodome.Com, Http://Www.Spinscruise.Com, Http://Www.Genesisspins.Com, Http://Www.Spinslabs.Com, Http://Www.Spinsplanet.Com, Http://Www.Spinsjoy.Com, Http://Www.Spinsgods.Com, Http://Www.Casinolab.Com, Http://Www.Casinoplanet.Com, Https://Www.Spela.Com, Http://Www.Casinocruise.Com, Http://Www.Spinit.Com, Http://Www.Vegashero.Com, Http://Www.Sloty.Com, Http://Www.Genesiscasino.Com, Http://Www.Casinojoy.Com, Http://Www.Casinogods.Com, Http://Www.Kassu.Com, Http://Www.Casoola.Com, Http://Pelaa.Com, Https://Www.Vegasoo.Com, Https://Www.Playerz.Com","28, Gb Buildings, Level 3 Watar Street, Ta'Xbiex, Xbx 1301, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Genting Malta Limited,MGA/B2C/686/2019,Surrendered,Invalid Email,,,,"Http://Wwww.Gentingbet.Com, Http://Www.Gentingcasino.Com, Http://Www.Gentingmaltalive.Com","Level G (Office 1/1120), Quantum House 75 Abate Rigord Street, Ta'Xbiex, Xbx 1120, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Geokul Limited,MGA/B2C/119/2005,Licensed,admin@geogaminggroup.com,28861880,28861880,,"Https://Www.Kunkkukasino.Com/, Https://Www.Lempi.Com, Http://Bg.Sportingbull.Com, Http://Mbg.Sportingbull.Com, Http://Pl.Sportingbull.Com, Http://Mpl.Sportingbull.Com, Http://Hu.Sportingbull.Com, Http://Hr.Sportingbull.Com, Http://Mhr.Sportingbull.Com, Http://En.Sportingbull.Com, Http://Men.Sportingbull.Com, Http://Mhu.Sportingbull.Com, Https://Www.Sportingbull.Com, Http://Mbr.Apostaquente.Com, Http://Men.Apostaquente.Com, Https://Www.Mammonakasino.Com","85 St. John Street, Valletta, Vlt1165, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Ggc Malta Limited,MGA/B2C/659/2018,Surrendered,info@ggcmalta.com,+35677771111,+35677771111,,Https://Www.Wildmania.Com,"Majestic Court No.5, Saint Mary Street, Mellieha, , Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Ggn Europe Ltd,MGA/B2B/683/2019,Licensed,info@nsusgroup.com,,,,Https://Www.Ggnetwork.Com,"Spinola Park, Level 7 Triq Mikiel Ang Borg, St. Julians, Spk1000, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Glb Gmbh,MGA/B2C/366/2016,Surrendered,info@goalbet.com,,,,"Http://Www.Goalbet.Gr, Http://Www.Arena-Bet.Gr","21 Reindlstrasse, Linz, 4040, Austria",Type 1 Gaming Service
Glide Limited,MGA/B2B/401/2017,Licensed,info@lotto-direct.com,,,,,"Vision Exchange Building, Level 1 Triq It-Territorjals, Zone 1, Central Business District, Birkirkara, Cbd 1070, Malta",Type 3 Gaming Service
Glimmer Limited,MGA/B2C/155/2008,Surrendered,info@portomasolive.com,+356 21383777,+356 21383777,,"Http://Www.Portomasolive.Com, Https://Www.Oraclecasinolive.Com, Https://Www.Betfashiontvvip.Com/","Level 3, Portomaso Business Tower, St.Julians, Stj4011, Malta",Type 1 Gaming Service
Glitnor Services Limited,MGA/CRP/628/2018,Licensed,Invalid Email,,,,"Https://Cl.Luckycasino.Com, Https://Www.Luckycasino.Com","Level 8, The Centre, Tigne Point, Sliema, Tpo 0001, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Global Gaming Entertainment Group Limited,MGA/B2C/551/2018,Cancelled,Invalid Email,,,,"Http://Www.Betcapo.Gr, Http://Www.Euro-Bet.Gr, Http://Www.1X2Bet.Gr, Https://Timebet.Gr, Https://All-Bet.Gr","Majestic Court 5 St. Mary'S Street, Mellieha, Mlh1337, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Global Innovations Limited,MGA/B2C/242/2013,Surrendered,keyofficial@inno.global,,,,,"No. 2 Geraldu Farrugia Street, Zebbug, Zbg 4351, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Gm Gaming Limited,MGA/B2C/182/2007,Licensed,info@cybergamingconsultants.com,21319493,21319493,,Https://Www.Spingalaxy.Com,"8, Villa Seminia Sir Temi Zammit Avenue, Ta' Xbiex, Xbx 1011, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Go Wild Malta Limited,MGA/B2C/373/2017,Surrendered,info@cybergamingconsultants.com,,,,"Http://Www.Beespins.Com, Http://Www.Wildjp.Com, Http://Www.Piggybang.Com","8, Villa Seminia Sir Temi Zammit Avenue, Ta' Xbiex, Xbx 1011, Malta",Type 1 Gaming Service
Goldwin Ltd,MGA/B2C/533/2018,Licensed,Invalid Email,,,,Http://Www.Westcasino.Com,"527, St Paul'S Street,, St Paul'S Bay, Spb 3418, Malta",Type 1 Gaming Service
Grand Play Limited,MGA/B2B/890/2021,Licensed,brani@anakatech.com,29811481,29811481,,,"Level 3 Suite No. 1378 Tower Business Centre, Tower Street, Swatar, Birkirkara, Bkr4013, Malta",Type 1 Gaming Service
Green Feather Online Limited,MGA/B2C/445/2017,Licensed,john@beacon-services.net,0035621372462,0035621372462,,"Http://Boocasino.Co, Https://Www.Mrfortune.Com, Http://Www.Bcasino.Com, Http://Www.Boocasino.Com, Https://Galacticwins.Com","Elite Business Centre Trejqa Ta' Box Box, Msida, Msd 1840, Malta",Type 1 Gaming Service
Green Jade Games Ltd,MGA/B2B/673/2019,Surrendered,Invalid Email,,,,,"137, Level 2, Spinola Road,, St Julians, Stj 3011, Malta",Type 1 Gaming Service
Greentube Malta Limited,MGA/B2C/823/2020,Cancelled,office.malta@greentube.com,20650200,20650200,,Http://Www.Greentube.Com,"W Business Centre, Level 4 Triq Dun Karm, Birkirkara, Bkr9033, Malta",Type 1 Gaming Service
Greentube Malta Limited,MGA/CRP/120/2006,Licensed,office.malta@greentube.com,20650200,20650200,,Http://Www.Greentube.Com,"W Business Centre, Level 4 Triq Dun Karm, Birkirkara, Bkr9033, Malta",Type 1 Gaming Service
Greentube Malta Limited,MGA/B2C/823/2020,Licensed,office.malta@greentube.com,20650200,20650200,,Http://Www.Greentube.Com,"W Business Centre, Level 4 Triq Dun Karm, Birkirkara, Bkr9033, Malta",Type 1 Gaming Service
Greenvest Betting Limited,MGA/B2C/418/2017,Licensed,contact@neo.bet,+356 2705 0998,+356 2705 0998,,Https://Neo.Bet,"Level 2, St. Julians Business Centre Triq Elija Zammit, St. Julians, Stj3155, Malta",Type 2 Gaming Service
Grinder Limited,MGA/B2B/156/2008,Surrendered,info@portomasolive.com,+356 21383777,+356 21383777,,,"Level 3, Portomaso Business Tower,, St.Julians, Stj4011, Malta",Type 1 Gaming Service
Groove Technologies Malta Ltd.,MGA/B2B/446/2017,Licensed,john@beacon-services.net,0035621372462,0035621372462,,,"Elite Business Centre Trejqa Ta' Box Box, Msida, Msd 1840, Malta",Type 1 Gaming Service
Gt Entertainment Limited,MGA/B2C/316/2015,Surrendered,info@casinowin.com,+35625496000,+35625496000,,Http://Www.Casinowin.Com,"Ewropa Business Centre, Level 3 - Suite 701, Dun Karm Street, Birkirkara, Bkr 9034, Malta",Type 1 Gaming Service
Gt Solutions Limited,MGA/B2B/895/2021,Licensed,amartinelli@ae.com.mt,20958200,20958200,,,"Valletta Buildings, Second Floor, Suite 7 South Street, Valletta, Vlt1103, Malta",Type 1 Gaming Service
Gxma Limited,MGA/B2B/804/2020,Surrendered,enquiries@gbetechnologies.com,(+353) 16733401,(+353) 16733401,,,"4Th Floor, Ifsc House Custom House Quay, Dublin, D01 R2P9, Ireland",
Habanero Systems Limited,MGA/B2B/643/2018,Licensed,Invalid Email,,,,,"Level G (Office 1/1143) Quantum House 75, Abate Rigord Street,, Ta' Xbiex, Xbx1120, Malta",Type 1 Gaming Service
